city_id,city_name,state,country,description,best_season,airport_info,latitude,longitude
37,Bhopal,Madhya Pradesh,India,Capital city known for lakes and historical landmarks.,Winter,Domestic,23.2599,77.4126
38,Indore,Madhya Pradesh,India,"Commercial hub known for food, trade, and Rajwada Palace.",Winter,Domestic,22.7196,75.8577
39,Bhubaneswar,Odisha,India,Capital city famous for temples and heritage sites.,Winter,Domestic,20.2961,85.8245
40,Puri,Odisha,India,Coastal city famous for Jagannath Temple and beaches.,Winter,Domestic,19.8135,85.8312
41,Rishikesh,Uttar Pradesh,India,"Rishikesh is a holy town on the Ganges at the foothills of the Himalayas, known as the Yoga Capital of the World, famous for ashrams, temples, river-rafting, spiritual retreats and natural beauty.",Winter,Domestic,30.10778,78.29255
42,Alleppey,Kerala,India,"Alappuzha (Alleppey) is known for its serene backwaters, houseboat cruises, canals, beaches and lagoons; often called the 'Venice of the East'.",Winter,Domestic,9.498067,76.338844
43,Gulmarg,Jammu & Kashmir,India,"Gulmarg is a picturesque hill station in the Himalayas, famous for skiing in winter, scenic meadows, gondola rides (one of the highest in the world), and natural beauty.",Winter,Domestic,34.0531,74.3815
44,Ladakh,Leh,India,"Ladakh (Leh) is a high-altitude desert mountain region nestled in the Himalayas, known for its rugged scenic landscapes, Buddhist monasteries, dramatic valleys (Nubra, Zanskar), turquoise lakes (Pangong), high passes, and unique mountain-culture",Summer,Domestic,34.1526,77.577
45,Hampi,Karnataka,India,Hampi is a legendary historical town on the banks of the Tungabhadra River — once the thriving capital of the Vijayanagara Empire ,Post-monsoon & Winter,Domestic,15.335,76.46
46,Coorg,Karnataka,India,"Coorg, also known as Kodagu, is a popular hill station in Karnataka, famous for coffee plantations, lush forests, waterfalls, wildlife sanctuaries, and cultural heritage. Major attractions include Abbey Falls, Raja’s Seat, Dubare Elephant Camp, and Talakaveri.",Post-monsoon & Winter,Domestic,12.3375,75.8069
47,Araku,Andhra Pradesh,India,"Araku Valley is a picturesque hill station in the Eastern Ghats, famous for coffee plantations, waterfalls, tribal culture, and scenic train rides through lush forests and valleys. Major attractions include Katiki Waterfalls, Borra Caves, and Ananthagiri Hills.",,Domestic,18.3333,82.8333
